rank_type,rank,sizing_method,market,instrument,session_date,setup,direction,first_candle_time,first_open,first_high,first_low,first_close,first_volume,gap_pct,signal_time,signal_close,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,exit_reason,atr_at_entry,quantity,equity_at_entry,risk_pct_budget,position_risk_amount,open_risk_before,portfolio_risk_limit,notional,open_notional_before,gross_exposure_limit,limiting_factor,sizing_note,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple,holding_candles,equity_after_exit
WORST,1,volatility_adjusted,equity,INFY_NS,2026-04-15,OPEN_EQUALS_LOW,LONG,2026-04-15T09:15:00+05:30,1302.599976,1314.0,1302.099976,1313.400024,0.0,2.0447,2026-04-15T09:20:00+05:30,1320.5,2026-04-15T09:25:00+05:30,1320.264,1302.339456,1356.113089,2026-04-15T11:35:00+05:30,1302.078988,STOP_LOSS,5.878584,58,105562.26,1.0,1054.73,0.0,6333.74,76575.31,0.0,316686.78,risk_budget,fixed_percent_risk,-1054.73,45.63,-1100.36,-1.437,-1.0433,27,104461.9
WORST,2,volatility_adjusted,equity,ICICIBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,1213.199951,1213.199951,1202.900024,1207.599976,0.0,-0.2467,2026-04-06T09:25:00+05:30,1201.599976,2026-04-06T09:30:00+05:30,1201.2597,1213.442591,1176.893918,2026-04-06T11:45:00+05:30,1213.68528,STOP_LOSS,5.042847,82,102461.74,1.0,1018.9,3026.8,6147.7,98503.3,168933.95,307385.22,risk_budget,fixed_percent_risk,-1018.9,59.41,-1078.31,-1.0947,-1.0583,28,101383.43
WORST,3,volatility_adjusted,equity,INFY_NS,2026-04-09,OPEN_EQUALS_HIGH,SHORT,2026-04-09T09:15:00+05:30,1329.900024,1329.900024,1316.099976,1321.599976,0.0,-1.2035,2026-04-09T09:40:00+05:30,1315.199951,2026-04-09T09:45:00+05:30,1314.737,1330.166004,1283.878991,2026-04-09T12:55:00+05:30,1330.432038,STOP_LOSS,5.271423,65,102201.77,1.0,1020.18,1979.55,6132.11,85457.9,191453.49,306605.31,risk_budget,fixed_percent_risk,-1020.18,51.58,-1071.76,-1.2541,-1.0506,39,101130.01
WORST,4,volatility_adjusted,equity,HDFCBANK_NS,2026-04-01,OPEN_EQUALS_LOW,LONG,2026-04-01T09:15:00+05:30,744.299988,752.150024,744.299988,752.049988,0.0,1.1002,2026-04-01T09:20:00+05:30,754.299988,2026-04-01T09:25:00+05:30,754.100802,744.151128,774.000151,2026-04-01T10:20:00+05:30,744.002298,STOP_LOSS,3.953574,101,102806.27,1.0,1019.95,0.0,6168.38,76164.18,0.0,308418.81,risk_budget,fixed_percent_risk,-1019.95,45.39,-1065.34,-1.3987,-1.0445,12,101740.93
WORST,5,volatility_adjusted,equity,KOTAKBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,358.0,358.0,351.649994,351.700012,0.0,0.1539,2026-04-06T09:20:00+05:30,350.549988,2026-04-06T09:25:00+05:30,350.479878,358.0716,335.296433,2026-04-06T13:05:00+05:30,358.143214,STOP_LOSS,1.850002,133,102461.74,1.0,1019.22,998.64,6147.7,46613.82,67751.85,307385.22,risk_budget,fixed_percent_risk,-1019.22,28.27,-1047.5,-2.2472,-1.0277,45,99545.96
WORST,6,volatility_adjusted,commodities,CLF,2026-04-06,OPEN_EQUALS_LOW,LONG,2026-04-06T09:15:00-04:00,111.330002,111.889999,111.25,111.870003,2377.0,0.0090,2026-04-06T09:20:00-04:00,112.239998,2026-04-06T09:25:00-04:00,112.262446,111.307736,114.171866,2026-04-06T10:15:00-04:00,111.285474,STOP_LOSS,0.505715,891,100122.16,1.0,870.48,0.0,6007.33,100025.84,0.0,300366.48,per_trade_allocation,fixed_percent_risk,-870.48,59.75,-930.24,-0.93,-1.0686,11,99770.9
WORST,7,volatility_adjusted,equity,HDFCBANK_NS,2026-04-21,OPEN_EQUALS_LOW,LONG,2026-04-21T09:15:00+05:30,795.900024,800.349976,795.5,800.0,0.0,0.0943,2026-04-21T09:20:00+05:30,801.549988,2026-04-21T09:25:00+05:30,801.810354,795.740844,813.949374,2026-04-21T12:05:00+05:30,795.581696,STOP_LOSS,2.007137,128,103386.22,1.0,797.27,0.0,6203.17,102631.73,0.0,310158.66,per_trade_allocation,fixed_percent_risk,-797.27,61.34,-858.61,-0.8366,-1.0769,33,102116.53
WORST,8,volatility_adjusted,commodities,SIF,2026-04-17,OPEN_EQUALS_HIGH,SHORT,2026-04-17T09:15:00-04:00,82.150002,82.154999,81.720001,81.830002,1024.0,4.3241,2026-04-17T13:20:00-04:00,81.574997,2026-04-17T13:25:00-04:00,81.588682,82.166432,80.433184,2026-04-17T14:25:00-04:00,82.182865,STOP_LOSS,0.208213,1285,104868.66,1.0,763.52,0.0,6292.12,104841.46,0.0,314605.98,per_trade_allocation,fixed_percent_risk,-763.52,63.13,-826.66,-0.7885,-1.0827,13,104042.0
WORST,9,volatility_adjusted,equity,HDFCBANK_NS,2026-04-06,OPEN_EQUALS_HIGH,SHORT,2026-04-06T09:15:00+05:30,760.0,760.0,746.200012,750.299988,0.0,1.3604,2026-04-06T09:40:00+05:30,746.049988,2026-04-06T09:45:00+05:30,745.8508,760.152,717.2484,2026-04-06T12:25:00+05:30,760.30403,STOP_LOSS,3.832145,53,102461.74,1.0,766.02,4045.7,6147.7,39530.09,267437.25,307385.22,gross_exposure,fixed_percent_risk,-766.02,23.95,-789.97,-1.9984,-1.0313,33,100593.46
WORST,10,volatility_adjusted,commodities,CLF,2026-04-02,OPEN_EQUALS_HIGH,SHORT,2026-04-02T09:15:00-04:00,113.389999,113.440002,112.540001,113.110001,4723.0,13.6856,2026-04-02T09:30:00-04:00,111.900002,2026-04-02T09:35:00-04:00,111.897614,113.412677,108.867488,2026-04-02T09:40:00-04:00,113.43536,STOP_LOSS,1.07857,480,103580.78,1.0,738.12,287.52,6214.85,53710.85,101724.14,310742.34,volatility_budget,fixed_percent_risk,-738.12,32.45,-770.57,-1.4347,-1.044,2,102810.21
